frame_idx,time_s,speaking,image,duration_s
162,6.48,1,frames_small/anim_Luca_mouth_closed.png,0.04
163,6.52,1,frames_small/anim_Luca_mouth_closed.png,0.04
164,6.56,1,frames_small/anim_Luca_mouth_open.png,0.04
165,6.6,1,frames_small/anim_Luca_mouth_open.png,0.04
166,6.64,1,frames_small/anim_Luca_mouth_closed.png,0.04
167,6.68,1,frames_small/anim_Luca_mouth_closed.png,0.04
168,6.72,1,frames_small/anim_Luca_mouth_closed.png,0.04
169,6.76,1,frames_small/anim_Luca_mouth_open.png,0.04
170,6.8,1,frames_small/anim_Luca_mouth_open.png,0.04
171,6.84,1,frames_small/anim_Luca_mouth_closed.png,0.04
172,6.88,1,frames_small/anim_Luca_mouth_open.png,0.04
173,6.92,1,frames_small/anim_Luca_mouth_closed.png,0.04
174,6.96,1,frames_small/anim_Luca_mouth_closed.png,0.04
175,7.0,1,frames_small/anim_Luca_mouth_open.png,0.04
176,7.04,1,frames_small/anim_Luca_mouth_open.png,0.04
177,7.08,1,frames_small/anim_Luca_mouth_closed.png,0.04
178,7.12,1,frames_small/anim_Luca_mouth_closed.png,0.04
179,7.16,1,frames_small/anim_Luca_mouth_closed.png,0.04
180,7.2,1,frames_small/anim_Luca_mouth_open.png,0.04
181,7.24,1,frames_small/anim_Luca_mouth_closed.png,0.04
182,7.28,1,frames_small/anim_Luca_mouth_open.png,0.04
183,7.32,1,frames_small/anim_Luca_mouth_open.png,0.04
184,7.36,1,frames_small/anim_Luca_mouth_closed.png,0.04
185,7.4,1,frames_small/anim_Luca_mouth_closed.png,0.04
186,7.44,1,frames_small/anim_Luca_mouth_closed.png,0.04
187,7.48,1,frames_small/anim_Luca_mouth_open.png,0.04
188,7.52,1,frames_small/anim_Luca_mouth_open.png,0.04
189,7.56,1,frames_small/anim_Luca_mouth_closed.png,0.04
190,7.6,1,frames_small/anim_Luca_mouth_closed.png,0.04
191,7.64,1,frames_small/anim_Luca_blink.png,0.04
192,7.68,1,frames_small/anim_Luca_blink.png,0.04
193,7.72,1,frames_small/anim_Luca_mouth_open.png,0.04
